sensor_id,timestamp,aqi,prediction,error,sqrError
Southeast LA CO,2017-08-31T23:00:00.000-07:00,62.0,60.944955978583366,1.0550440214166343,1.1131178871269836
Southeast LA CO,2017-08-31T22:00:00.000-07:00,67.0,61.99706204360389,5.00293795639611,25.029388195548886
Southeast LA CO,2017-08-31T21:00:00.000-07:00,70.0,62.7988733240554,7.2011266759446,51.85622540300093
Southeast LA CO,2017-08-31T20:00:00.000-07:00,69.0,62.7988733240554,6.2011266759446,38.45397205111173
Southeast LA CO,2017-08-31T19:00:00.000-07:00,67.0,62.879311442795434,4.120688557204566,16.980074185476653
Southeast LA CO,2017-08-31T18:00:00.000-07:00,59.0,62.65459726702621,3.6545972670262117,13.356081184155455
Southeast LA CO,2017-08-31T17:00:00.000-07:00,63.0,62.879311442795434,0.1206885572045664,0.014565727840119894
Southeast LA CO,2017-08-31T16:00:00.000-07:00,68.0,62.667961118192494,5.332038881807506,28.430638637107037
Southeast LA CO,2017-08-31T15:00:00.000-07:00,71.0,62.68476549246076,8.315234507539238,69.1431249153713
Southeast LA CO,2017-08-31T14:00:00.000-07:00,70.0,62.863040273928945,7.136959726071055,50.93619413156023
Southeast LA CO,2017-08-31T13:00:00.000-07:00,72.0,62.61973299359252,9.380267006407479,87.98940911149673
Southeast LA CO,2017-08-31T12:00:00.000-07:00,73.0,62.68476549246076,10.315234507539238,106.40406294552825
Southeast LA CO,2017-08-31T11:00:00.000-07:00,77.0,62.95770779282997,14.042292207170028,197.1859704315481
Southeast LA CO,2017-08-31T10:00:00.000-07:00,74.0,62.818247502654096,11.181752497345904,125.03158891190137
Southeast LA CO,2017-08-31T09:00:00.000-07:00,72.0,62.640005691729556,9.359994308270444,87.60949345085511
Southeast LA CO,2017-08-31T08:00:00.000-07:00,72.0,60.982430370101774,11.017569629898226,121.38684054965573
Southeast LA CO,2017-08-31T07:00:00.000-07:00,67.0,59.73723293585415,7.262767064145848,52.7477854280417
Southeast LA CO,2017-08-31T06:00:00.000-07:00,60.0,59.47888422900497,0.5211157709950314,0.271561646779746
Southeast LA CO,2017-08-31T05:00:00.000-07:00,58.0,59.43065610440498,1.4306561044049815,2.0467768890712374
Southeast LA CO,2017-08-31T04:00:00.000-07:00,53.0,59.46320777862145,6.463207778621452,41.77305478963285
Southeast LA CO,2017-08-31T03:00:00.000-07:00,55.0,59.59207345378677,4.592073453786767,21.08713860497313
Southeast LA CO,2017-08-31T02:00:00.000-07:00,65.0,60.928143659714316,4.071856340285684,16.580014055924728
Southeast LA CO,2017-08-31T01:00:00.000-07:00,65.0,60.928143659714316,4.071856340285684,16.580014055924728
Southeast LA CO,2017-08-31T00:00:00.000-07:00,69.0,61.20539238886301,7.794607611136989,60.75590781159468
Southeast LA CO,2017-08-30T23:00:00.000-07:00,72.0,61.66690761578245,10.33309238421755,106.77279822077475
Southeast LA CO,2017-08-30T22:00:00.000-07:00,77.0,62.56683133355717,14.433168666442832,208.31635775398715
Southeast LA CO,2017-08-30T21:00:00.000-07:00,70.0,62.82904154948996,7.170958450510042,51.42264509894139
Southeast LA CO,2017-08-30T20:00:00.000-07:00,71.0,62.87726967408993,8.12273032591007,65.9787479474591
Southeast LA CO,2017-08-30T19:00:00.000-07:00,66.0,62.931498659262964,3.0685013407370363,9.41570047810499
Southeast LA CO,2017-08-30T18:00:00.000-07:00,63.0,62.72016875813383,0.2798312418661695,0.07830552392436264
Southeast LA CO,2017-08-30T17:00:00.000-07:00,63.0,62.909237586437875,0.09076241356212478,0.008237815715622172
Southeast LA CO,2017-08-30T16:00:00.000-07:00,64.0,62.71349171831463,1.2865082816853715,1.6551035588450471
Southeast LA CO,2017-08-30T15:00:00.000-07:00,61.0,62.87383432076481,1.8738343207648072,3.5112550616761062
Southeast LA CO,2017-08-30T14:00:00.000-07:00,71.0,62.90947966823,8.090520331770001,65.45651923878377
Southeast LA CO,2017-08-30T13:00:00.000-07:00,77.0,62.95770779282997,14.042292207170028,197.1859704315481
Southeast LA CO,2017-08-30T12:00:00.000-07:00,79.0,62.9296371032752,16.070362896724802,258.25656363242916
Southeast LA CO,2017-08-30T11:00:00.000-07:00,77.0,62.818247502654096,14.181752497345904,201.1221038959768
Southeast LA CO,2017-08-30T10:00:00.000-07:00,79.0,62.82904154948996,16.170958450510042,261.49989720812215
Southeast LA CO,2017-08-30T09:00:00.000-07:00,76.0,62.71840204176407,13.281597958235928,176.40084432421676
Southeast LA CO,2017-08-30T08:00:00.000-07:00,73.0,60.860705285564535,12.139294714435465,147.36247616392083
Southeast LA CO,2017-08-30T07:00:00.000-07:00,71.0,59.35086768073122,11.64913231926878,135.70228379183243
Southeast LA CO,2017-08-30T06:00:00.000-07:00,67.0,59.1465512843612,7.853448715638798,61.67665672916869
Southeast LA CO,2017-08-30T05:00:00.000-07:00,59.0,59.1465512843612,0.1465512843612018,0.02147727894791783
